"filename", "language", "C++", "Makefile", "Batch", "JSON", "comment", "blank", "total"
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\HAL_JSON_Manager_WIN.cpp", "C++", 10, 0, 0, 0, 1, 3, 14
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\HAL_JSON_Manager_WIN.h", "C++", 11, 0, 0, 0, 1, 3, 15
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\RPN_tools.cpp", "C++", 100, 0, 0, 0, 0, 19, 119
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\RPN_tools.h", "C++", 11, 0, 0, 0, 0, 4, 15
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\cfg.json", "JSON", 0, 0, 0, 32, 0, 0, 32
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\compile.bat", "Batch", 0, 0, 1, 0, 0, 0, 1
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\main.cpp", "C++", 293, 0, 0, 0, 35, 51, 379
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\main.cpp.old", "C++", 61, 0, 0, 0, 19, 11, 91
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\makefile", "Makefile", 0, 33, 0, 0, 9, 11, 53
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\openCmdPrompts - kopia.bat", "Batch", 0, 0, 14, 0, 0, 1, 15
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\openCmdPrompts.bat", "Batch", 0, 0, 2, 0, 0, 0, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Arduino\Arduino.cpp", "C++", 2, 0, 0, 0, 0, 2, 4
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Arduino\Arduino.h", "C++", 49, 0, 0, 0, 5, 22, 76
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DHTesp\DHTesp.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DHTesp\DHTesp.h", "C++", 0, 0, 0, 0, 0, 2, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DallasTemperature\DallasTemperature.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DallasTemperature\DallasTemperature.h", "C++", 0, 0, 0, 0, 0, 1, 1
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\OneWire\OneWire.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\OneWire\OneWire.h", "C++", 0, 0, 0, 0, 0, 1, 1
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Stream_WIN.h", "C++", 24, 0, 0, 0, 0, 10, 34
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Ticker\Ticker.cpp", "C++", 10, 0, 0, 0, 1, 1, 12
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Ticker\Ticker.h", "C++", 18, 0, 0, 0, 1, 5, 24
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_CoreDevices.cpp", "C++", -278, 0, 0, 0, -64, -51, -393
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_CoreDevices.h", "C++", -106, 0, 0, 0, -35, -21, -162
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_DHT.cpp", "C++", -116, 0, 0, 0, -6, -16, -138
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_DHT.h", "C++", -37, 0, 0, 0, -2, -12, -51
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_RuleVariable.cpp", "C++", -39, 0, 0, 0, -2, -8, -49
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_RuleVariable.h", "C++", -21, 0, 0, 0, 0, -5, -26
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_template.cpp", "C++", -23, 0, 0, 0, -1, -8, -32
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_template.h", "C++", -18, 0, 0, 0, 0, -5, -23
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTemp.h", "C++", -4, 0, 0, 0, -3, -2, -9
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempAutoRefresh.cpp", "C++", -43, 0, 0, 0, -5, -8, -56
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempAutoRefresh.h", "C++", -30, 0, 0, 0, 0, -15, -45
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempBus.cpp", "C++", -222, 0, 0, 0, -8, -33, -263
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempBus.h", "C++", -44, 0, 0, 0, -1, -12, -57
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempDevice.cpp", "C++", -89, 0, 0, 0, -14, -25, -128
"g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\OneWireTemp\HAL_JSON_OneWireTempDevice.h", "C++", -52, 0, 0, 0, 0, -15, -67
