"filename", "language", "C++", "Makefile", "Batch", "JSON", "comment", "blank", "total"
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\HAL_JSON_Manager_WIN.cpp", "C++", 10, 0, 0, 0, 1, 3, 14
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\HAL_JSON_Manager_WIN.h", "C++", 11, 0, 0, 0, 1, 3, 15
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\RPN_tools.cpp", "C++", 100, 0, 0, 0, 0, 19, 119
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\RPN_tools.h", "C++", 11, 0, 0, 0, 0, 4, 15
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\cfg.json", "JSON", 0, 0, 0, 32, 0, 0, 32
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\compile.bat", "Batch", 0, 0, 1, 0, 0, 0, 1
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\main.cpp", "C++", 293, 0, 0, 0, 35, 51, 379
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\main.cpp.old", "C++", 61, 0, 0, 0, 19, 11, 91
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\makefile", "Makefile", 0, 33, 0, 0, 9, 11, 53
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\openCmdPrompts - kopia.bat", "Batch", 0, 0, 14, 0, 0, 1, 15
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\openCmdPrompts.bat", "Batch", 0, 0, 2, 0, 0, 0, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Arduino\Arduino.cpp", "C++", 2, 0, 0, 0, 0, 2, 4
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Arduino\Arduino.h", "C++", 49, 0, 0, 0, 5, 22, 76
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DHTesp\DHTesp.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DHTesp\DHTesp.h", "C++", 0, 0, 0, 0, 0, 2, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DallasTemperature\DallasTemperature.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\DallasTemperature\DallasTemperature.h", "C++", 0, 0, 0, 0, 0, 1, 1
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\OneWire\OneWire.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\OneWire\OneWire.h", "C++", 0, 0, 0, 0, 0, 1, 1
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Stream_WIN.h", "C++", 24, 0, 0, 0, 0, 10, 34
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Ticker\Ticker.cpp", "C++", 10, 0, 0, 0, 1, 1, 12
"g:\_git\__ESP\esp-wifi_env_sensor\pc_simulation\stubs\Ticker\Ticker.h", "C++", 18, 0, 0, 0, 1, 5, 24
"Total", "-", 592, 33, 17, 32, 72, 150, 896
