Date : 2025-09-06 00:02:48
Directory : g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON
Total : 82 files,  7472 codes, 1459 comments, 1468 blanks, all 10399 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         82 |      7,472 |      1,459 |      1,468 |     10,399 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |         82 |      7,472 |      1,459 |      1,468 |     10,399 |
| . (Files)                                                                                              |         29 |      2,299 |        250 |        450 |      2,999 |
| Devices                                                                                                |         29 |      1,937 |        184 |        403 |      2,524 |
| Devices (Files)                                                                                        |         12 |        757 |        116 |        163 |      1,036 |
| Devices\OneWireTemp                                                                                    |          9 |        705 |         44 |        152 |        901 |
| Devices\REGO600                                                                                        |          4 |        247 |         12 |         39 |        298 |
| Devices\RF433                                                                                          |          4 |        228 |         12 |         49 |        289 |
| RuleEngine                                                                                             |         24 |      3,236 |      1,025 |        615 |      4,876 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_CoreDevices.cpp                        | C++      |        280 |         66 |         51 |        397 |
| g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_CoreDevices.h                          | C++      |        106 |         35 |         23 |        164 |
| g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_DHT.cpp                                | C++      |        118 |          6 |         16 |        140 |
| g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_DHT.h                                  | C++      |         37 |          2 |         14 |         53 |
| g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_SCRIPTVariable.cpp                       | C++      |         43 |          2 |          8 |         53 |
| g:\_git\__ESP\esp-wifi_env_sensor\src\HAL_JSON\Devices\HAL_JSON_SCRIPTVariable.h                         | C++      |         22 |          0 |          7 |         29 |
